num,date_time,전력사용량(kWh),기온(°C),풍속(m/s),습도(%),강수량(mm),일조(hr),비전기냉방설비운영,태양광보유
1,2020-06-01 00,8179.056,17.6,2.5,92,0.8,0,0,0
1,2020-06-01 01,8135.64,17.7,2.9,91,0.3,0,0,0
1,2020-06-01 02,8107.128,17.5,3.2,91,0,0,0,0
1,2020-06-01 03,8048.808,17.1,3.2,91,0,0,0,0
1,2020-06-01 04,8043.624,17,3.3,92,0,0,0,0
1,2020-06-01 05,8010.576,16.9,3.4,93,0,0,0,0
1,2020-06-01 06,7978.176,16.7,3.4,90,0.1,0,0,0
1,2020-06-01 07,8019,16.9,2.3,86,0,0.1,0,0
1,2020-06-01 08,8020.944,17.8,3.3,80,0,0.3,0,0
1,2020-06-01 09,8083.152,19.3,2.1,73,0,0.7,0,0
1,2020-06-01 10,8116.2,20.5,3.4,62,0,1,0,0
1,2020-06-01 11,8104.536,22.1,3.6,52,0,1,0,0
1,2020-06-01 12,8088.984,23.1,4,49,0,1,0,0
1,2020-06-01 13,8102.592,23.1,5.1,42,0,1,0,0
1,2020-06-01 14,8088.336,23.6,5.1,39,0,1,0,0
1,2020-06-01 15,8076.672,23.8,5.5,40,0,1,0,0
1,2020-06-01 16,8032.608,24.4,3,39,0,1,0,0
1,2020-06-01 17,8013.816,23.6,4.4,41,0,1,0,0
1,2020-06-01 18,8029.368,22.7,4.1,42,0,1,0,0
1,2020-06-01 19,8028.072,21.3,4.2,44,0,1,0,0
1,2020-06-01 20,7994.376,19.8,2.5,51,0,0.4,0,0
1,2020-06-01 21,7974.936,18.6,2.5,55,0,0,0,0
1,2020-06-01 22,7972.992,17.9,2,62,0,0,0,0
1,2020-06-01 23,7945.128,17.2,2,68,0,0,0,0
1,2020-06-02 00,7920.504,16.6,1.6,74,0,0,0,0
1,2020-06-02 01,7890.048,16.2,0.8,77,0,0,0,0
1,2020-06-02 02,7868.016,15.9,1.1,78,0,0,0,0
1,2020-06-02 03,7847.28,15.7,0.4,78,0,0,0,0
1,2020-06-02 04,7799.328,15.5,0.9,79,0,0,0,0
1,2020-06-02 05,7801.92,14.8,1.3,79,0,0,0,0
1,2020-06-02 06,7784.424,15,2.2,79,0,0,0,0
1,2020-06-02 07,7836.912,15.5,1.4,77,0,0,0,0
1,2020-06-02 08,7873.2,16,2.2,75,0,0,0,0
1,2020-06-02 09,7914.024,16.9,2.5,71,0,0,0,0
1,2020-06-02 10,7973.64,17.3,2.5,65,0,0,0,0
1,2020-06-02 11,7989.84,17.5,2.6,70,0,0,0,0
1,2020-06-02 12,7935.408,16.3,2.9,80,1.9,0,0,0
1,2020-06-02 13,7923.744,17.5,2.2,68,0,0,0,0
1,2020-06-02 14,7966.512,20.4,3.1,51,0,0.1,0,0
1,2020-06-02 15,7996.32,20.9,2.2,48,0,0,0,0
1,2020-06-02 16,8053.992,21.7,2.5,46,0,0.1,0,0
1,2020-06-02 17,8061.12,21.2,3.3,55,0,0,0,0
1,2020-06-02 18,8059.176,20.6,2.4,58,0,0,0,0
1,2020-06-02 19,8061.12,20.3,2.9,61,0,0,0,0
1,2020-06-02 20,8066.952,19.9,3.1,65,0,0,0,0
1,2020-06-02 21,8111.664,19.6,2.7,70,0,0,0,0
1,2020-06-02 22,8140.824,19.3,2.2,74,0,0,0,0
1,2020-06-02 23,8120.088,19,1.7,79,0,0,0,0
1,2020-06-03 00,8114.904,18.4,1.7,84,0.1,0,0,0
1,2020-06-03 01,8094.816,18.3,2,86,0,0,0,0
1,2020-06-03 02,8090.28,18.2,1.8,89,0,0,0,0
1,2020-06-03 03,8091.576,18.2,1.3,89,0,0,0,0
1,2020-06-03 04,8057.88,18.1,1.5,87,0,0,0,0
