기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	합계	합계	394,190	228,386	165,804	172,606	97,303	75,303	40,905	24,244	16,661	41,624	25,004	16,620	57,430	31,621	25,809	3,414	2,442	972	27,084	16,596	10,488	6,415	5,431	984	16,525	8,438	8,087	17,895	10,583	7,312	1,040	682	358	2,125	1,562	563	2,597	1,794	803	378	205	173	2,901	1,796	1,105	1,251	685	566
2020	종로구	소계	6,015	3,488	2,527	2,586	1,388	1,198	582	371	211	729	455	274	927	530	397	45	34	11	394	236	158	102	85	17	258	142	116	256	153	103	9	4	5	30	25	5	48	36	12	7	4	3	31	21	10	11	4	7
2020	종로구	사직동	284	167	117	124	76	48	34	14	20	35	21	14	30	14	16	2	2	0	18	10	8	10	8	2	11	8	3	13	9	4	1	1	0	2	1	1	1	1	0	0	0	0	3	2	1	0	0	0
2020	종로구	삼청동	110	58	52	44	23	21	13	7	6	13	8	5	19	7	12	0	0	0	4	2	2	1	1	0	9	3	6	5	5	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
2020	종로구	부암동	317	181	136	125	64	61	27	16	11	39	22	17	52	32	20	2	2	0	22	14	8	9	8	1	14	9	5	15	8	7	1	1	0	0	0	0	4	2	2	1	0	1	5	3	2	1	0	1
2020	종로구	평창동	538	290	248	214	110	104	57	34	23	72	39	33	87	42	45	3	1	2	36	20	16	12	11	1	19	8	11	26	16	10	0	0	0	2	1	1	5	4	1	1	1	0	4	3	1	0	0	0
2020	종로구	무악동	328	181	147	116	56	60	30	21	9	45	28	17	60	30	30	4	4	0	27	14	13	11	8	3	12	8	4	10	6	4	2	1	1	4	2	2	4	1	3	0	0	0	3	2	1	0	0	0
2020	종로구	교남동	359	194	165	157	80	77	34	18	16	34	19	15	61	30	31	4	1	3	23	15	8	8	8	0	13	8	5	17	9	8	0	0	0	2	2	0	4	3	1	0	0	0	0	0	0	2	1	1
2020	종로구	가회동	177	91	86	75	37	38	22	11	11	14	7	7	27	19	8	1	0	1	19	8	11	4	4	0	6	3	3	9	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	종로구	종로1.2.3.4가동	398	299	99	161	111	50	49	41	8	41	31	10	57	44	13	2	2	0	22	19	3	2	2	0	35	27	8	19	13	6	0	0	0	4	4	0	2	2	0	1	1	0	3	2	1	0	0	0
2020	종로구	종로5·6가동	255	164	91	126	78	48	21	16	5	29	22	7	28	18	10	1	0	1	18	13	5	4	3	1	13	5	8	9	7	2	1	0	1	1	1	0	1	0	1	0	0	0	2	1	1	1	0	1
2020	종로구	이화동	328	178	150	153	78	75	34	22	12	36	21	15	52	26	26	1	1	0	21	13	8	3	2	1	10	4	6	14	9	5	1	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0
2020	종로구	창신1동	316	185	131	152	88	64	30	21	9	29	15	14	52	31	21	2	2	0	20	12	8	1	0	1	12	6	6	9	4	5	0	0	0	3	3	0	1	1	0	0	0	0	3	1	2	2	1	1
2020	종로구	창신2동	486	282	204	226	118	108	44	26	18	71	45	26	61	39	22	5	3	2	28	14	14	2	2	0	31	23	8	9	5	4	0	0	0	1	1	0	4	4	0	1	0	1	1	1	0	2	1	1
2020	종로구	창신3동	340	185	155	172	83	89	29	14	15	30	19	11	45	30	15	6	5	1	18	10	8	4	3	1	12	6	6	15	9	6	2	1	1	1	1	0	4	3	1	0	0	0	2	1	1	0	0	0
2020	종로구	숭인1동	292	158	134	132	65	67	27	19	8	22	13	9	57	32	25	2	2	0	22	13	9	3	2	1	10	1	9	13	8	5	0	0	0	0	0	0	2	1	1	0	0	0	2	2	0	0	0	0
2020	종로구	숭인2동	436	280	156	202	121	81	40	26	14	51	35	16	66	46	20	2	2	0	22	15	7	4	3	1	15	8	7	25	16	9	0	0	0	4	4	0	1	1	0	2	2	0	1	1	0	1	0	1
2020	종로구	청운효자동	461	242	219	162	76	86	37	20	17	104	66	38	78	37	41	4	3	1	33	16	17	7	7	0	8	1	7	20	10	10	0	0	0	2	2	0	4	3	1	1	0	1	1	1	0	0	0	0
